algorithm,size,time_best_s,time_mean_s,accuracy
ID3,1000,0.11489379999693483,0.11978579999898405,0.8233333333333334
C4.5,1000,0.6177858999872115,0.6729957999923499,0.7966666666666666
CART,1000,0.628079300004174,0.6398513999981029,0.7966666666666666
ID3,2000,0.2540088999958243,0.2703577999976308,0.81
C4.5,2000,0.932104999999865,0.994719100005265,0.8266666666666667
CART,2000,1.2508435000054305,1.3051191333312697,0.8216666666666667
ID3,5000,0.6674041999940528,0.7015632999925098,0.7873333333333333
C4.5,5000,2.03414370000246,2.2935221000031256,0.834
CART,5000,2.28043310000794,2.8482018666739655,0.8233333333333334
ID3,10000,0.7689924000005703,0.8213906333354922,0.787
C4.5,10000,1.8615355999936583,2.005062733335459,0.8406666666666667
CART,10000,2.0150294000050053,2.104398499999661,0.825
ID3,20000,1.1395850999979302,1.4322007333345634,0.7966666666666666
C4.5,20000,2.1867663000011817,2.329910533328075,0.8141666666666667
CART,20000,2.591146899998421,2.850253766659686,0.8341666666666666
ID3,30000,1.5454305999883218,1.6434960333281197,0.8033333333333333
C4.5,30000,3.9058462000102736,4.781020033333334,0.8514444444444444
CART,30000,3.942287400001078,4.457217800004098,0.8405555555555555
